gMag,gnuc,greffkpc,gn,gellip
-11.9,x,0.642,0.72,0.47
-9.85,x,0.757,0.23,0.5
-12.97,x,0.866,0.65,0.14
-9.9,x,0.503,0.5,0.43
-11.95,x,0.421,0.63,0.17
-12.08,x,0.602,0.82,0.22
-9,x,0.359,0.3,0.16
-13.37,x,2.008,0.91,0.18
-11.55,o,0.521,0.91,0.47
-11,x,0.715,0.57,0.25
-10.96,x,0.673,0.41,0.15
-9.92,x,0.356,0.68,0.32
-10.85,x,0.657,0.69,0.39
-9.86,x,0.467,0.5,0.36
-10.43,x,0.4,0.73,0.11
-10.18,o,0.41,0.67,0.22
-13.22,o,0.968,0.89,0.47
-11.75,x,0.508,0.8,0.31
-13.1,o,0.847,1.02,0.06
-12.36,x,0.592,0.77,0.25
-11.2,x,0.798,0.73,0.47
-12.54,x,0.539,0.83,0.28
-11.85,x,0.656,0.76,0.37
-12.86,x,1.14,0.91,0.5
-13.56,x,0.771,0.72,0.33
-11.02,x,0.474,0.45,0.18
-13.61,x,1.4,0.76,0.51
-11.66,x,0.796,0.9,0.46
-12.58,x,0.589,0.93,0.5
-11.88,x,0.414,0.74,0.37
-10.29,x,0.479,0.53,0.14
-11.97,x,0.791,0.84,0.09
-10.96,x,0.368,0.71,0.2
-12.45,x,1.126,0.56,0.38
-10.23,x,0.529,0.92,0.27
-11.74,x,0.736,0.78,0.21
-9.78,x,0.433,0.37,0.31
-11.72,x,0.719,1.02,0.42
-13.01,o,0.797,0.98,0.14
-12.03,o,0.89,0.88,0.17
-10.69,x,0.561,0.66,0.16
-10.22,x,0.835,0.54,0.48
-13.34,x,1.365,1.24,0.5
-10.86,x,0.533,0.72,0.5
-10.7,x,0.402,0.49,0.28
-9.78,x,0.289,0.9,0.16
-12.48,o,0.944,0.76,0.09
-10.58,o,0.527,0.65,0.31
-12.27,x,0.556,1.1,0.04
-12.97,o,0.483,0.74,0.25
-12.38,o,0.523,0.65,0.17
-12.02,o,0.636,0.95,0.26
-11.33,x,0.574,0.83,0.36
